start_time_stamp,end_time_stamp,service_name,pods_number,cpu_quota_cores,min_cpu_quota_percentage_across_pods,max_cpu_quota_percentage_across_pods,min_cpu_cores_used_across_pods,max_cpu_cores_used_across_pods,memory_quota_mb,min_memory_quota_percentage_across_pods,max_memory_quota_percentage_across_pods,min_memory_used_bytes_across_pods,max_memory_used_bytes_across_pods,jvm_heap_max_mb,min_jvm_heap_used_percentage_across_pods,min_jvm_heap_used_bytes,queries_per_second,success_rate,latency_ms
1699124920,1699124920,acmeair-customerservice,1.0,0.5,1.31,1.31,0.00652,0.00652,512,74.62616,74.62616,400646144.0,400646144.0,512,40.898397,123509020.8,3.0,100.0,12.041723666667
1699124920,1699124920,acmeair-flightservice,1.0,0.5,1.86,1.86,0.00927,0.00927,512,53.117829,53.117829,285174169.6,285174169.6,512,56.831657,100152328.0,3.0,100.0,7.235986666667
1699124920,1699124920,acmeair-mainservice,1.0,0.5,1.008,1.008,0.00502,0.00502,512,27.416993,27.416993,147193856.0,147193856.0,512,50.695416,37476387.2,0.0,100.0,0.0
1699124910,1699124910,acmeair-authservice,1.0,0.5,1.312,1.312,0.00653,0.00653,512,59.010315,59.010315,316809216.0,316809216.0,512,41.591202,69287827.2,3.0,100.0,1.089896666667
1699124910,1699124910,acmeair-bookingservice,1.0,0.5,1.815,1.815,0.00905,0.00905,512,46.831131,46.831131,251422720.0,251422720.0,512,58.193098,81690371.2,3.0,100.0,10.930307
1699124910,1699124910,acmeair-customerservice,1.0,0.5,1.327,1.327,0.00662,0.00662,512,74.62616,74.62616,400646144.0,400646144.0,512,40.416219,122052892.8,3.0,100.0,12.199288666667
1699124910,1699124910,acmeair-flightservice,1.0,0.5,2.099,2.099,0.01047,0.01047,512,53.158341,53.158341,285391667.2,285391667.2,512,56.192014,99025108.8,3.0,100.0,6.910538666667001
1699124910,1699124910,acmeair-mainservice,1.0,0.5,1.156001,1.156001,0.00575,0.00575,512,27.416993,27.416993,147193856.0,147193856.0,512,49.472566,36572400.0,0.0,100.0,0.0
1699124900,1699124900,acmeair-authservice,1.0,0.5,1.266,1.266,0.0063,0.0063,512,59.010315,59.010315,316809216.0,316809216.0,512,40.772949,67924678.4,2.0,100.0,1.0790525
1699124900,1699124900,acmeair-bookingservice,1.0,0.5,1.591,1.591,0.00793,0.00793,512,46.791077,46.791077,251207680.0,251207680.0,512,57.150542,80226851.2,3.0,100.0,11.177131666667
1699124900,1699124900,acmeair-customerservice,1.0,0.5,1.272,1.272,0.00633,0.00633,512,74.62616,74.62616,400646144.0,400646144.0,512,39.912475,120531638.4,2.0,100.0,9.791635
1699124900,1699124900,acmeair-flightservice,1.0,0.5,2.038,2.038,0.01017,0.01017,512,53.117371,53.117371,285171712.0,285171712.0,512,55.276479,97411694.4,2.0,100.0,6.0170125
1699124900,1699124900,acmeair-mainservice,1.0,0.5,1.05,1.05,0.00523,0.00523,512,27.416993,27.416993,147193856.0,147193856.0,512,48.132805,35581987.2,0.0,100.0,0.0
1699124890,1699124890,acmeair-authservice,1.0,0.5,1.291,1.291,0.00643,0.00643,512,59.010315,59.010315,316809216.0,316809216.0,512,39.915356,66495993.6,3.0,100.0,0.951531333334
1699124890,1699124890,acmeair-bookingservice,1.0,0.5,1.786,1.786,0.0089,0.0089,512,46.908112,46.908112,251836006.4,251836006.4,512,56.018127,78637188.8,2.0,100.0,13.0747875
1699124890,1699124890,acmeair-customerservice,1.0,0.5,1.464,1.464,0.0073,0.0073,512,74.62616,74.62616,400646144.0,400646144.0,512,60.862749,183799347.2,3.0,100.0,10.002642333334
1699124890,1699124890,acmeair-flightservice,1.0,0.5,2.595,2.595,0.01295,0.01295,512,53.23967,53.23967,285828300.8,285828300.8,512,54.362803,95801556.8,3.0,100.0,7.912366
1699124890,1699124890,acmeair-mainservice,1.0,0.5,1.118,1.118,0.00557,0.00557,512,27.416993,27.416993,147193856.0,147193856.0,512,46.862858,34643184.0,0.0,100.0,0.0
1699124880,1699124880,acmeair-authservice,1.0,0.5,1.308,1.308,0.00651,0.00651,512,59.010315,59.010315,316809216.0,316809216.0,512,39.097103,65132844.8,3.0,100.0,1.119566666667
1699124880,1699124880,acmeair-bookingservice,1.0,0.5,1.926001,1.926001,0.00961,0.00961,512,46.789551,46.789551,251199488.0,251199488.0,512,54.97792,77176964.8,3.0,100.0,11.446167666667
1699124880,1699124880,acmeair-customerservice,1.0,0.5,1.254,1.254,0.00625,0.00625,512,74.62616,74.62616,400646144.0,400646144.0,512,74.682212,225532726.4,3.0,100.0,11.784393333334
1699124880,1699124880,acmeair-flightservice,1.0,0.5,5.622,5.622,0.02809,0.02809,512,53.466034,53.466034,287043584.0,287043584.0,512,53.648782,94543265.6,3.0,100.0,7.328727666667
1699124880,1699124880,acmeair-mainservice,1.0,0.5,1.134,1.134,0.005651,0.005651,512,27.416993,27.416993,147193856.0,147193856.0,512,45.592912,33704380.8,0.0,100.0,0.0
1699124860,1699124860,acmeair-authservice,1.0,0.5,1.309,1.309,0.00651,0.00651,512,59.010315,59.010315,316809216.0,316809216.0,512,37.334465,62196422.4,3.0,100.0,1.5425436666669998
1699124860,1699124860,acmeair-bookingservice,1.0,0.5,1.384,1.384,0.006901,0.006901,512,46.788788,46.788788,251195392.0,251195392.0,512,52.922014,74290923.2,2.0,100.0,12.2533475
1699124860,1699124860,acmeair-customerservice,1.0,0.5,1.318,1.318,0.006561,0.006561,512,74.62616,74.62616,400646144.0,400646144.0,512,73.70999,222596713.6,3.0,100.0,11.873007666667
1699124860,1699124860,acmeair-flightservice,1.0,0.5,5.156001,5.156001,0.02576,0.02576,512,53.192444,53.192444,285574758.4,285574758.4,512,51.945547,91541716.8,3.0,100.0,7.980405333334
1699124860,1699124860,acmeair-mainservice,1.0,0.5,1.194,1.194,0.00595,0.00595,512,27.416993,27.416993,147193856.0,147193856.0,512,79.604415,58847251.2,0.0,100.0,0.0
1699124850,1699124850,acmeair-authservice,1.0,0.5,1.304,1.304,0.00648,0.00648,512,59.010315,59.010315,316809216.0,316809216.0,512,36.51867,60837369.6,3.0,100.0,1.224520333334
1699124850,1699124850,acmeair-bookingservice,1.0,0.5,1.566,1.566,0.00781,0.00781,512,46.788788,46.788788,251195392.0,251195392.0,512,51.887934,72839300.8,3.0,100.0,11.53541
1699124850,1699124850,acmeair-customerservice,1.0,0.5,1.309,1.309,0.00652,0.00652,512,74.62616,74.62616,400646144.0,400646144.0,512,73.182782,221004598.4,3.0,100.0,9.730554
1699124850,1699124850,acmeair-flightservice,1.0,0.5,1.84,1.84,0.00918,0.00918,512,53.190232,53.190232,285562880.0,285562880.0,512,51.122053,90090504.0,3.0,100.0,6.636606
1699124850,1699124850,acmeair-mainservice,1.0,0.5,1.207,1.207,0.006,0.006,512,27.416993,27.416993,147193856.0,147193856.0,512,78.305102,57886739.2,0.0,100.0,0.0
1699124840,1699124840,acmeair-authservice,1.0,0.5,1.28,1.28,0.00638,0.00638,512,59.010315,59.010315,316809216.0,316809216.0,512,35.624198,59347244.8,2.0,100.0,1.2349495
1699124840,1699124840,acmeair-bookingservice,1.0,0.5,1.663,1.663,0.0083,0.0083,512,46.788407,46.788407,251193344.0,251193344.0,512,50.839848,71368017.6,3.0,100.0,12.008404
1699124840,1699124840,acmeair-customerservice,1.0,0.5,1.237,1.237,0.006161,0.006161,512,74.62616,74.62616,400646144.0,400646144.0,512,72.598879,219241270.4,2.0,100.0,10.4658035
